Title,Body,Labels,Milestone,Assignee,State
T-001 Infra: Monorepo & Tooling,"### Context
Set up monorepo, pnpm workspaces, linting, pre-commit hooks, Makefile targets.

### Acceptance Criteria
- CI runs lint/build/test on PR
- `make dev` runs app + backend locally

### Definition of Done
- Code + tests + docs updated
- Feature flagged where risky
- Telemetry events added
- OpenAPI/schema updated
- PR includes 'How I verified' with commands/screens

### Verification Notes
- Add screenshots/logs
- Link to related ADR in /docs/adr
",Sprint:Sprint 1 – Core Infrastructure;Component:Infra;AC:present,Sprint 1 – Core Infrastructure,,open
T-002 Backend: API skeleton & health,"### Context
Scaffold API with /healthz, OpenAPI at /docs, request-id, error middleware.

### Acceptance Criteria
- `GET /healthz` returns ok
- OpenAPI live at `/docs`

### Definition of Done
- Code + tests + docs updated
- Feature flagged where risky
- Telemetry events added
- OpenAPI/schema updated
- PR includes 'How I verified' with commands/screens

### Verification Notes
- Add screenshots/logs
- Link to related ADR in /docs/adr
",Sprint:Sprint 1 – Core Infrastructure;Component:Backend;AC:present,Sprint 1 – Core Infrastructure,,open
T-003 Auth: Firebase JWT integration,"### Context
JWT verify middleware + role guard (PLAYER/COACH/ADMIN).

### Acceptance Criteria
- 401/403 without token
- 200 with valid token + role

### Definition of Done
- Code + tests + docs updated
- Feature flagged where risky
- Telemetry events added
- OpenAPI/schema updated
- PR includes 'How I verified' with commands/screens

### Verification Notes
- Add screenshots/logs
- Link to related ADR in /docs/adr
",Sprint:Sprint 1 – Core Infrastructure;Component:Backend;AC:present,Sprint 1 – Core Infrastructure,,open
T-004 DB: Postgres schema v1 + migrations,"### Context
Migrations for users, videos, shots, metrics, drills, plans, plan_items, scores.

### Acceptance Criteria
- Migrations apply/rollback
- Repository unit tests

### Definition of Done
- Code + tests + docs updated
- Feature flagged where risky
- Telemetry events added
- OpenAPI/schema updated
- PR includes 'How I verified' with commands/screens

### Verification Notes
- Add screenshots/logs
- Link to related ADR in /docs/adr
",Sprint:Sprint 1 – Core Infrastructure;Component:Backend;AC:present,Sprint 1 – Core Infrastructure,,open
T-005 Mobile: Expo bootstrap,"### Context
Initialize Expo app with navigation + env wiring.

### Acceptance Criteria
- App compiles iOS/Android
- Env documented

### Definition of Done
- Code + tests + docs updated
- Feature flagged where risky
- Telemetry events added
- OpenAPI/schema updated
- PR includes 'How I verified' with commands/screens

### Verification Notes
- Add screenshots/logs
- Link to related ADR in /docs/adr
",Sprint:Sprint 1 – Core Infrastructure;Component:Mobile;AC:present,Sprint 1 – Core Infrastructure,,open
T-006 CI/CD: Actions + staging deploy,"### Context
Pipelines (PR lint/test/build, main deploy). Stage backend.

### Acceptance Criteria
- Pipelines green
- Staging `/healthz` ok

### Definition of Done
- Code + tests + docs updated
- Feature flagged where risky
- Telemetry events added
- OpenAPI/schema updated
- PR includes 'How I verified' with commands/screens

### Verification Notes
- Add screenshots/logs
- Link to related ADR in /docs/adr
",Sprint:Sprint 1 – Core Infrastructure;Component:Infra;AC:present,Sprint 1 – Core Infrastructure,,open
T-101 API: Signed upload flow,"### Context
POST /videos/signed-url returns pre-signed PUT; persists metadata (userId,duration,fps,angle).

### Acceptance Criteria
- Upload tested via Postman
- DB row created

### Definition of Done
- Code + tests + docs updated
- Feature flagged where risky
- Telemetry events added
- OpenAPI/schema updated
- PR includes 'How I verified' with commands/screens

### Verification Notes
- Add screenshots/logs
- Link to related ADR in /docs/adr
",Sprint:Sprint 2 – AI Shot Calibrator;Component:API;AC:present,Sprint 2 – AI Shot Calibrator,,open
T-102 Mobile: Video capture & resumable upload,"### Context
expo-camera record/preview; background upload with retry/resume.

### Acceptance Criteria
- iOS/Android demo video
- E2E covers network loss resume

### Definition of Done
- Code + tests + docs updated
- Feature flagged where risky
- Telemetry events added
- OpenAPI/schema updated
- PR includes 'How I verified' with commands/screens

### Verification Notes
- Add screenshots/logs
- Link to related ADR in /docs/adr
",Sprint:Sprint 2 – AI Shot Calibrator;Component:Mobile;AC:present,Sprint 2 – AI Shot Calibrator,,open
T-103 ML: Metrics JSON contract (ShotDNA),"### Context
Define metrics schema: release_ms, elbow_angle_deg, wrist_flick_deg_s, arc_proxy_deg, consistency_score, tips[].

### Acceptance Criteria
- Schema validation tests
- Contract fixtures in repo

### Definition of Done
- Code + tests + docs updated
- Feature flagged where risky
- Telemetry events added
- OpenAPI/schema updated
- PR includes 'How I verified' with commands/screens

### Verification Notes
- Add screenshots/logs
- Link to related ADR in /docs/adr
",Sprint:Sprint 2 – AI Shot Calibrator;Component:ML;AC:present,Sprint 2 – AI Shot Calibrator,,open
T-104 ML: Baseline model (MediaPipe → TFLite),"### Context
Pipeline for keypoint extraction; training; export .tflite; inference API or on-device bridge.

### Acceptance Criteria
- 3 fixtures return metrics <500ms
- Accuracy notes in docs

### Definition of Done
- Code + tests + docs updated
- Feature flagged where risky
- Telemetry events added
- OpenAPI/schema updated
- PR includes 'How I verified' with commands/screens

### Verification Notes
- Add screenshots/logs
- Link to related ADR in /docs/adr
",Sprint:Sprint 2 – AI Shot Calibrator;Component:ML;AC:present,Sprint 2 – AI Shot Calibrator,,open
